texto,label
"Estudiante participativo y atento en clase",1
"Demuestra motivación y esfuerzo constante",1
"Mantiene una actitud positiva y colaboradora",1
"Responsable con tareas y proyectos asignados",1
"Se integra bien con sus compañeros",1
"Muestra iniciativa y es proactivo",1
"Atención excelente y participación activa",1
"Colabora con el equipo y respeta normas",1
"Demuestra interés genuino por aprender",1
"Actitud ejemplar y comprometida",1
"Asistencia perfecta y puntualidad constante",1
"Plantea preguntas profundas y busca aclaraciones",1
"Toma apuntes organizados y sigue el hilo de la clase",1
"Ayuda espontáneamente a compañeros con dificultades",1
"Busca material adicional para complementar lo aprendido",1
"Muestra curiosidad intelectual y va más allá del mínimo",1
"Aplica conceptos aprendidos a situaciones nuevas",1
"Solicita retroalimentación para mejorar su desempeño",1
"Demuestra habilidades de liderazgo positivo en equipos",1
"Mantiene una comunicación respetuosa con profesores",1
"Organiza su tiempo eficientemente para cumplir plazos",1
"Reflexiona sobre sus errores y busca corregirlos",1
"Participa en actividades extracurriculares académicas",1
"Muestra perseverancia ante tareas complejas",1
"Trabaja de forma autónoma con excelentes resultados",1
"Expresa gratitud y reconocimiento hacia el aprendizaje",1
"Adapta sus estrategias según las necesidades del curso",1
"Demuestra empatía y apoyo emocional a compañeros",1
"Contribuye a crear un ambiente de clase productivo",1
"Muestra balance entre trabajo académico y bienestar",1
"Cumple con lo requerido sin destacar",1
"Participa ocasionalmente",1
"Actitud estable, sin comportamientos problemáticos",1
"Desempeño aceptable en la mayoría de las actividades",1
"Cumple requisitos mínimos sin sobresalir ni fallar",1
"Participa solo cuando se le solicita directamente",1
"Desempeño fluctuante entre diferentes asignaturas",1
"Requiere recordatorios ocasionales para cumplir tareas",1
"Interés variable dependiendo del tema específico",1
"Prefiere trabajar individualmente antes que en equipo",1
"Sigue instrucciones pero sin aportar ideas propias",1
"Evita conflictos pero también evita involucrarse",1
"Muestra timidez que limita su participación activa",1
"Rendimiento aceptable pero con potencial desaprovechado",1
"Completa trabajos justo en la fecha límite",1
"Asiste regularmente pero con participación limitada",1
"Respeta normas sin generar impacto positivo adicional",1
"Aprende mejor con estructura clara y guía constante",1
"Necesita validación frecuente para continuar trabajando",1
"Desinterés en las actividades de clase",0
"Falta de motivación evidente",0
"Se distrae con facilidad durante la clase",0
"Problemas frecuentes con compañeros",0
"Actitud conflictiva y poco colaboradora",0
"No entrega tareas y muestra poco compromiso",0
"Bajo rendimiento y poca participación",0
"Demuestra desorganización constante",0
"Dificultades para trabajar en grupo",0
"Desmotivación y apatía ante el aprendizaje",0
"Ausencias frecuentes sin justificación adecuada",0
"Llegadas tardías recurrentes interrumpiendo la clase",0
"Uso constante de celular en actividades académicas",0
"Respuestas cortantes o irrespetuosas a preguntas",0
"Evasión sistemática de trabajos grupales",0
"Copiado en evaluaciones o plagio en trabajos",0
"Actitud desafiante hacia figuras de autoridad",0
"Aislamiento social persistente durante actividades",0
"Fatiga o somnolencia constante en horarios de clase",0
"Negativa a participar incluso en actividades sencillas",0
"Expresiones de frustración o ira ante desafíos académicos",0
"Falta de materiales básicos de forma reiterada",0
"Incapacidad para seguir instrucciones secuenciales",0
"Comportamientos disruptivos que afectan al grupo",0
"Descuido evidente en la presentación de trabajos",0
"Promesas de mejora que no se materializan en acciones",0
"Justificaciones constantes para bajo rendimiento",0
"Resistencia activa a metodologías de enseñanza",0
"Dificultades graves de concentración sostenida",0
"Indicios de problemas personales que afectan lo académico",0
"Comunicación agresiva o pasivo-agresiva con pares",0
"Abandono prematuro de actividades sin permiso",0
"Falta de objetivos académicos o profesionales claros",0
"Priorización de actividades no académicas durante clases",0
"Historial de conflictos con múltiples profesores",0
"Respuestas evasivas cuando se pregunta sobre su avance",0
"Deterioro progresivo en calidad de trabajo entregado",0
"Ausencia de contacto visual en interacciones académicas",0
"Postura corporal cerrada y defensiva constantemente",0
"Muestra signos de estrés académico severo no manejado",0
"No muestra interés por mejorar sus calificaciones",0
"Falta de responsabilidad con trabajos grupales asignados",0
"Actitud derrotista ante cualquier desafío académico",0
"Minimiza la importancia de la educación formal",0
"Uso inapropiado del lenguaje dentro del aula",0
"Falta de respeto hacia las opiniones de sus compañeros",0
"Constantes excusas para no participar en actividades",0
"Inversión de tiempo en redes sociales durante clases",0
"Demuestra apatía hacia proyectos de investigación",0
"Incumplimiento reiterado de plazos de entrega",0
"Desinterés por recibir retroalimentación docente",0
"Actitud cínica hacia el proceso de aprendizaje",0
"Manipulación de calificaciones o resultados académicos",0
"Falta de autocrítica sobre su propio desempeño",0
"Tendencia a culpar a otros por sus fracasos académicos",0
"Resistencia a técnicas de estudio recomendadas",0
"Preferencia por métodos de aprendizaje ineficientes",0
"Falta de planificación para exámenes importantes",0
"Desmotivación contagiosa hacia otros estudiantes",0
"Uso excesivo de jerga juvenil inapropiada en contexto académico",0
"Negativa a aceptar ayuda cuando claramente la necesita",0
"Comportamientos de riesgo durante horas lectivas",0
"Desprecio por materiales didácticos proporcionados",0
"Falta de cuidado con equipos tecnológicos del aula",0
"Actitud consumista hacia la educación (solo por título)",0
"Falta de ética en competencias académicas",0
"Sobreestimación constante de sus capacidades reales",0
"Subestimación del esfuerzo necesario para aprender",0
"Falta de compromiso con actividades complementarias",0
"Desinterés por desarrollar habilidades blandas",0
"Priorización de actividades sociales sobre académicas",0
"Actitud pasiva-agresiva cuando se le corrige",0
"Uso de vocabulario limitado en expresiones académicas",0
"Falta de iniciativa para resolver dudas básicas",0
"Tendencia al conformismo con resultados mediocres",0
"Desinterés por actualizarse en su área de estudio",0
"Falta de visión a largo plazo sobre su formación",0
"Actitud individualista que perjudica el trabajo en equipo",0
"Desprecio por asignaturas consideradas 'no importantes'",0
"Falta de adaptación a diferentes estilos de enseñanza",0
"Resistencia a cambios en metodologías educativas",0
"Baja tolerancia a la frustración ante errores",0
"Falta de resiliencia ante desafíos académicos",0
"Actitud negativa hacia compañeros con mejor rendimiento",0
"Comportamiento envidioso en contextos de evaluación",0
"Falta de reconocimiento hacia logros de otros",0
"Desinterés por participar en foros de discusión académica",0
"Priorización de calificaciones sobre aprendizaje real",0
"Falta de curiosidad intelectual en cualquier tema",0
"Actitud pasiva que requiere estímulo constante",0
"No establece metas académicas alcanzables",0
"Falta de método para organizar sus apuntes",0
"Desinterés por técnicas de memorización efectivas",0
"Priorización de aprendizaje memorístico sobre comprensivo",0
"Falta de aplicación práctica de conocimientos teóricos",0
"Desmotivación ante asignaturas que requieren esfuerzo sostenido",0
"Tendencia a abandonar tareas al primer obstáculo",0
"Falta de perseverancia en proyectos a largo plazo",0
"Actitud derrotista ante materias que inicialmente le cuestan",0
"Desinterés por desarrollar pensamiento crítico",0
"Preferencia por respuestas simples sobre análisis profundos",0
"Falta de capacidad para sintetizar información compleja",0
"Resistencia a leer material bibliográfico adicional",0
"Desinterés por investigar más allá de lo obligatorio",0
"Falta de iniciativa para consultar fuentes primarias",0
"Actitud superficial hacia contenidos académicos",0
"Priorización de formato sobre contenido en trabajos",0
"Falta de atención a detalles importantes en instrucciones",0
"Desinterés por mejorar su ortografía y redacción",0
"Actitud indiferente hacia correcciones de lenguaje",0
"Falta de cuidado en presentación física de trabajos",0
"Desinterés por desarrollar habilidades de presentación oral",0
"Actitud negativa hacia ejercicios de oratoria",0
"Falta de preparación para exposiciones grupales",0
"Desinterés por retroalimentación sobre su comunicación",0
"Actitud evasiva durante evaluaciones orales",0
"Falta de participación constructiva en debates académicos",0
"Desinterés por comprender diferentes perspectivas teóricas",0
"Actitud cerrada ante nuevas corrientes de pensamiento",0
"Falta de flexibilidad mental para abordar problemas",0
"Resistencia a metodologías de aprendizaje colaborativo",0
"Desinterés por dinámicas grupales de construcción colectiva",0
"Actitud competitiva negativa en entornos cooperativos",0
"Falta de habilidades para mediar conflictos en equipo",0
"Desinterés por desarrollar inteligencia emocional académica",0
"Actitud defensiva ante críticas constructivas",0
"Falta de autocontrol en situaciones de presión académica",0
"Desinterés por técnicas de manejo de estrés estudiantil",0
"Actitud negativa hacia programas de apoyo psicológico",0
"Falta de consciencia sobre su propio proceso de aprendizaje",0
"Desinterés por autoevaluar su progreso académico",0
"Actitud pasiva en la búsqueda de recursos de apoyo",0
"Falta de proactividad para resolver problemas logísticos",0
"Desinterés por optimizar su entorno de estudio",0
"Actitud conformista con condiciones subóptimas de aprendizaje",0
"Falta de iniciativa para crear redes de estudio",0
"Desinterés por mentorías o tutorías disponibles",0
"Actitud escéptica hacia programas de nivelación académica",0
"Falta de compromiso con su propio proceso formativo",0
"Desinterés por explorar conexiones entre diferentes asignaturas",0
"Actitud fragmentaria hacia el conocimiento integral",0
"Falta de visión holística sobre su formación educativa",0
